sentence,label_id,label
"Votorantim Celulose e Papel ( VCP ) is part of the Votorantim Group , a major Brazilian conglomerate .",1,neutral
"Section : Regional News - The demand in Finnair 's Asian traffic , measured in passenger kilometers , was up 34.9 % in August compare to last year .",2,positive
Operating profit rose to EUR2 .4 m from EUR1 .6 m year earlier .,2,positive
"The order values at EUR 6.9 mn , and it consists of design services and hardware and software licences .",1,neutral
It was decided that the auditors are reimbursed according to invoice .,1,neutral
"The port facilities ' throughput is 250,000 TEUs and 7.5 mln tons of general cargo .",1,neutral
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",2,positive
"At the beginning of the subscription period on May 2 , 2006 the share subscription price under B option right is EUR 10.22 per share .",1,neutral
Operating profit margin increased from 11.2 % to 11.7 % .,2,positive
`` There is no room to modify the share component as we have already indicated . '',1,neutral
The company expects net sales to significantly increase from 2009 .,2,positive
"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Hong Kong , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Finland , Canada , Russia , Ukraine , Denmark , Ireland , South Korea and Liechtenstein .",1,neutral
"Raute , headquartered in Nastola , Finland , is a technology company serving the wood products industry worldwide .",1,neutral
"The company , which makes garden tools , scissors and other consumer goods , said earnings were boosted by 6.9 mln eur of income it received from its 16.7 pct shareholding in Finnish engineering group Wartsila .",2,positive
"Purchase it for the 12MP snapper , if nothing else .",1,neutral
"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .",2,positive
"The market value of one crane is some USD6m , reported the Finnish news agency STT .",1,neutral
"The group posted net sales of 35.3 mln euro $ 46.5 mln and an operating profit of 760,000 euro $ 1.0 mln in 2005 .",1,neutral
"Following the issue , the new shares will constitute 10 percent of the firm 's capital .",1,neutral
The company anticipates its turnover for the whole 2010 to surpass that of the previous year when it was EUR 67.1 million .,2,positive
Operating profit rose to EUR 4.7 mn from EUR 3.6 mn .,2,positive
"ADP News - Feb 13 , 2009 - Finnish retailer Kesko Oyj HEL : KESBV said today its total sales , excluding value added tax VAT , stood at EUR 661.3 million USD 853.1 m in January 2009 , down 15.2 % year-on-yea",0,negative
Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) issued on Thursday ( 18 September ) a profit warning for the third quarter of 2008 .,0,negative
`` We are pleased with the efforts of both negotiating teams and look forward to a productive four years ahead . '',2,positive
"Headquartered in this city , the company is nearly 75 years old and focuses on science-based innovation and technology for environmental measurement .",1,neutral
"Operating profit totaled EUR 37,7 mn , up slightly from EUR 37.2 mn in the corresponding period in 2006 .",2,positive
The financial details of the acquisition were not disclosed .,1,neutral
"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",2,positive
Each share is entitled to one vote .,1,neutral
Okmetic has used the furnaces for the contract manufacturing of solar crystals .,1,neutral
