sentence,label_id,label,prediction,zeropred
"clumsy dialogue , heavy-handed phoney-feeling sentiment , and an overly-familiar set ",0,negative,negative,positive
seem to be in a contest to see who can out-bad-act the other ,0,negative,negative,positive
bitter italian comedy ,0,negative,negative,negative
", all this visual trickery stops being clever and devolves into flashy , vaguely silly overkill . ",0,negative,negative,negative
several cliched movie structures : ,0,negative,negative,positive
nothing more than four or five mild chuckles ,0,negative,negative,positive
fabricated ,0,negative,negative,negative
's icky ,0,negative,negative,positive
the awkward interplay and utter lack of chemistry between chan and hewitt ,0,negative,negative,negative
an uninspired preachy and clichéd war film . ,0,negative,negative,positive
"jumps around with little logic or continuity , presenting backstage bytes of information that never amount to a satisfying complete picture of this particular , anciently demanding métier ",0,negative,negative,positive
"while it 's all quite tasteful to look at , the attention process tends to do a little fleeing of its own . ",0,negative,negative,negative
i do n't think that a.c. will help this movie one bit ,0,negative,negative,positive
deserve the energy it takes to describe how bad it is ,0,negative,negative,negative
hardly seems worth the effort . ,0,negative,negative,negative
the plot is both contrived and cliched ,0,negative,negative,negative
collapses into exactly the kind of buddy cop comedy ,0,negative,negative,positive
all-over-the-map movie would be a lot better if it pared down its plots and characters to a few rather than dozens ... or if it were subtler ... or if it had a sense of humor . ,0,negative,positive,positive
... hokey art house pretension . ,0,negative,negative,positive
"anyone who wants to start writing screenplays can just follow the same blueprint from hundreds of other films , sell it to the highest bidder and walk away without anyone truly knowing your identity . ",0,negative,positive,negative
bland actors ,0,negative,negative,negative
for but a few seconds ,0,negative,negative,negative
come from a xerox machine rather than ( writer-director ) franc ,0,negative,negative,positive
darker turns ,0,negative,negative,negative
we would pay a considerable ransom not to be looking at ,0,negative,negative,negative
"-- wearing a cloak of unsentimental , straightforward text -- ",0,negative,positive,negative
settles too easily ,0,negative,positive,negative
aimless ,0,negative,negative,negative
parker can not sustain the buoyant energy level of the film 's city beginnings into its country conclusion ' ,0,negative,negative,negative
"some fine acting , but ultimately a movie with no reason for being . ",0,negative,negative,positive
the code talkers deserved better than a hollow tribute . ,0,negative,negative,negative
strained caper movies that 's hardly any fun to watch ,0,negative,negative,positive
was ushered in by the full monty and is still straining to produce another smash ,0,negative,positive,negative
"stinks from start to finish , like a wet burlap sack of gloom . ",0,negative,negative,positive
of describing badness ,0,negative,positive,positive
it 's all surface psychodramatics . ,0,negative,negative,negative
melodramatic bodice-ripper ,0,negative,negative,negative
", sexist ",0,negative,negative,positive
embarrassed to be part of ,0,negative,negative,negative
"come closer than anyone could desire to the cheap , graceless , hackneyed sci-fi serials of the '30s and '40s ",0,negative,negative,negative
blasphemous and ,0,negative,negative,negative
bad company . ,0,negative,negative,negative
"sloppy , made-for-movie ",0,negative,negative,negative
need of some trims and ,0,negative,negative,positive
