text1,text2,label_id,label,sentence,prediction
"Also, Davis needs to get over his Los Angeles exceptionalism.",Davis does not need to get over his exceptionalism. ,2,contradiction,"Also, Davis needs to get over his Los Angeles exceptionalism. Davis does not need to get over his exceptionalism. ",contradiction
I felt like I was betraying something.,"It felt fine, I had no qualms.",2,contradiction,"I felt like I was betraying something. It felt fine, I had no qualms.",contradiction
The militarist regime of the 1930s blatantly manipulated the concept to prepare the country for war and regional domination and to convince the people of their innate superiority over the enemy.,"Prior to the war, Japanese people were convinced they were inferior to the rest of the world.",2,contradiction,"The militarist regime of the 1930s blatantly manipulated the concept to prepare the country for war and regional domination and to convince the people of their innate superiority over the enemy. Prior to the war, Japanese people were convinced they were inferior to the rest of the world.",contradiction
"Judging by today's responses, the network's lineup would seem to consist of Peter Jennings, Sam Donaldson, Ted Koppel, and Barbara Walters, grilling Ellen DeGeneres about her lesbianism while a bare-assed Regis Philbin dispenses cash and prizes.",Peter Jennings is cheering Ellen.,2,contradiction,"Judging by today's responses, the network's lineup would seem to consist of Peter Jennings, Sam Donaldson, Ted Koppel, and Barbara Walters, grilling Ellen DeGeneres about her lesbianism while a bare-assed Regis Philbin dispenses cash and prizes. Peter Jennings is cheering Ellen.",contradiction
"When the Flamingo opened in December 1946, it did so with Hollywood flair and the new Vegas flash.",The Flamingo closed on December 1946.,2,contradiction,"When the Flamingo opened in December 1946, it did so with Hollywood flair and the new Vegas flash. The Flamingo closed on December 1946.",contradiction
Finding out the hard way about Washington's new 10 foot buffer law.,Finding out the easy way about Washington's buffer law. ,2,contradiction,Finding out the hard way about Washington's new 10 foot buffer law. Finding out the easy way about Washington's buffer law. ,contradiction
that's right no it's not  it's it's not pocket change so it's major so but maybe when the kids get in school that will be you know when they start needing something you know then that will be different but,It is inexpensive. ,2,contradiction,that's right no it's not  it's it's not pocket change so it's major so but maybe when the kids get in school that will be you know when they start needing something you know then that will be different but It is inexpensive. ,contradiction
we don't have too many Exxon stations out this way,Exxon is one of the most popular stations here.,2,contradiction,we don't have too many Exxon stations out this way Exxon is one of the most popular stations here.,contradiction
Dorcas was quite right. ,Dorcas was wrong. ,2,contradiction,Dorcas was quite right.  Dorcas was wrong. ,contradiction
um though there are jobs of course that exist that way here uh they don't,I have never heard of such a thing.,2,contradiction,um though there are jobs of course that exist that way here uh they don't I have never heard of such a thing.,contradiction
those stamps are valuable now,Those stamps have lost a lot of value since we got them.,2,contradiction,those stamps are valuable now Those stamps have lost a lot of value since we got them.,entailment
oh i do too much and it's just gonna get better it really is,I don't do too much and it's gonna get worse.,2,contradiction,oh i do too much and it's just gonna get better it really is I don't do too much and it's gonna get worse.,contradiction
"Weather permitting, you can take a ride on one of the steamers.",Riding the Steamers is great regardless of the weather conditions. ,2,contradiction,"Weather permitting, you can take a ride on one of the steamers. Riding the Steamers is great regardless of the weather conditions. ",contradiction
Photograph of Alan Greenspan on the Slate Table of Contents by Kevin Lamarque/Reuters.,This photograph of Alan Greenspan was not taken by Kevin.,2,contradiction,Photograph of Alan Greenspan on the Slate Table of Contents by Kevin Lamarque/Reuters. This photograph of Alan Greenspan was not taken by Kevin.,contradiction
Privatization would not be needed.,Privatization would be useful.,2,contradiction,Privatization would not be needed. Privatization would be useful.,contradiction
shoot that's a good idea,"Damn, that is a really bad idea. ",2,contradiction,"shoot that's a good idea Damn, that is a really bad idea. ",contradiction
yeah yeah i i want to still have just one just in case but i'd sure want to get the get it paid down and not use it for a while,"I don't really want to have one, even for emergencies.",2,contradiction,"yeah yeah i i want to still have just one just in case but i'd sure want to get the get it paid down and not use it for a while I don't really want to have one, even for emergencies.",contradiction
Can't any of you young fools get it through your thick heads that the war's over?,Can't any of you old smarties understand that the war is still going on? ,2,contradiction,Can't any of you young fools get it through your thick heads that the war's over? Can't any of you old smarties understand that the war is still going on? ,contradiction
"After listening to the porter's meticulous but perplexing directions, they prepared to leave the station.",They killed the porter before leaving the station.,2,contradiction,"After listening to the porter's meticulous but perplexing directions, they prepared to leave the station. They killed the porter before leaving the station.",contradiction
"The sad fact of an extended life span is that you get those extra years tacked on at the end, extending your frailty and neglect, not added to your 20s, extending your time in ersatz anthropology classes.",Having an extended breathing capacity is important.,2,contradiction,"The sad fact of an extended life span is that you get those extra years tacked on at the end, extending your frailty and neglect, not added to your 20s, extending your time in ersatz anthropology classes. Having an extended breathing capacity is important.",contradiction
and then they used to uh and then i had a second one eighteen months later they told me to put them back to back and of course to maintain and i was flat on my back for the last five months with the second one because that's when i go into labor that's like four and a half months and i don't even know it,I had my first child and then decided I wouldn't have any more.,2,contradiction,and then they used to uh and then i had a second one eighteen months later they told me to put them back to back and of course to maintain and i was flat on my back for the last five months with the second one because that's when i go into labor that's like four and a half months and i don't even know it I had my first child and then decided I wouldn't have any more.,contradiction
"congressional oversight of IRS' operations, including IRS' implementation of the 1998",Congress never reviews the operations of the IRS.  ,2,contradiction,"congressional oversight of IRS' operations, including IRS' implementation of the 1998 Congress never reviews the operations of the IRS.  ",contradiction
"However, many people become leaders of organizations because they reflect the needs and attitudes of members, and therefore they are not likely to radically change the culture of the organization.",Virtually all leaders of organizations are capable of radically changing the culture of their organizations.,2,contradiction,"However, many people become leaders of organizations because they reflect the needs and attitudes of members, and therefore they are not likely to radically change the culture of the organization. Virtually all leaders of organizations are capable of radically changing the culture of their organizations.",contradiction
"Whether you choose to dine in one of the Macanese, Chinese, traditional Portuguese, or international-style restaurants, you will be treated to a hearty meal at a good price.","No matter where you eat, the meals will be overpriced and undersized.",2,contradiction,"Whether you choose to dine in one of the Macanese, Chinese, traditional Portuguese, or international-style restaurants, you will be treated to a hearty meal at a good price. No matter where you eat, the meals will be overpriced and undersized.",contradiction
uh know virtually nothing else uh yeah i got my four year got my BS in General Science,My formal education ended in the sixth grade. ,2,contradiction,uh know virtually nothing else uh yeah i got my four year got my BS in General Science My formal education ended in the sixth grade. ,contradiction
A good internal control environment requires that the agency's organizational structure clearly define key areas of authority and responsibility and establish appropriate lines of reporting.,The agency's structure is pretty messed up and unorganized.,2,contradiction,A good internal control environment requires that the agency's organizational structure clearly define key areas of authority and responsibility and establish appropriate lines of reporting. The agency's structure is pretty messed up and unorganized.,contradiction
we bought that and it was uh the paint was uh so-so i had scraped i had to do a lot of scraping and then i put uh uh water base paint over the uh oil,The paint was amazing.,2,contradiction,we bought that and it was uh the paint was uh so-so i had scraped i had to do a lot of scraping and then i put uh uh water base paint over the uh oil The paint was amazing.,contradiction
