sentence,aspect,label_id,label,prediction,zeropred
This just keeps having it 's hard drive replaced !,hard drive,0,negative,negative,neutral
PC never worked right even after BIOS fixed .,BIOS,0,negative,negative,negative
"From the build quality to the performance , everything about it has been sub-par from what I would have expected from Apple .",build quality,0,negative,negative,neutral
"As with any laptop not purchased with software options , it comes with a lot of what I consider useless applications .",applications,0,negative,neutral,negative
"while about 8 years ago , I hope that the quality has changed .",quality,0,negative,neutral,neutral
"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed , etc. .",priced,0,negative,negative,negative
System is loosing about 20 % of performance because of that .,performance,0,negative,negative,negative
This computer that I have has had issues with the keyboard where it lost half the keyboard functions .,keyboard functions,0,negative,negative,negative
I have to keep turning it until it decides to lower and there is no mute .,mute,0,negative,negative,positive
Then after paying for it to be examined I was told it was same problem cited on website but I 'd have to pay anyways since it was past warrenty .,warrenty,0,negative,negative,neutral
"- Called headquarters again , they report that TFT panel is broken , should be fixed by the end of the week ( week 3 ) .",TFT panel,0,negative,neutral,positive
Returned laptop for a 3rd repair and it came back with previous problems fixed ( except for speaker grill ) but the unit started locking up during use and eventually would not operate at all .,speaker grill,0,negative,negative,negative
My ONLY issues are : 1 ) the screen/video resolution wo n't increase to a higher resolution then 1024 x 60,screen/video resolution,0,negative,negative,neutral
"It was loaded with Windows Vista Home Premium -- delivered with only 1 GB of RAM , and it was a * dog * .",1 GB of RAM,0,negative,negative,positive
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid , ( mind you this was my means of communication with my fiance who was deployed ) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out .",cam,0,negative,negative,neutral
This computer that I have has had issues with the keyboard where it lost half the keyboard functions .,keyboard,0,negative,negative,neutral
Features like the font are very block-like and old school .,Features,0,negative,negative,negative
I bought this laptop and found its TAB is not functioning .,TAB,0,negative,negative,negative
Supplied software : The software that comes with this machine is greatly welcomed compared to what Windows comes with .,Windows,0,negative,positive,neutral
"My friend just had to replace his entire motherboard , so did my wife , and it looks like I will have to as well .",motherboard,0,negative,negative,positive
The Internet Explorer was very slow from the very beginning .,Internet Explorer,0,negative,negative,positive
The brand is tarnished in my heart .,brand,0,negative,negative,negative
I agree with the previous comment that ASUS TECH SUPPORT IS HORRIBLE WHICH IS A CON IN MY OPINION .,ASUS TECH SUPPORT,0,negative,negative,positive
"After purchasing this thing , I find out that I need a special interface device to connect my camera , and that it can not be purchased at the store - only on line .",interface device,0,negative,negative,negative
I would not recommend this to anyone wanting a notebook expecting the performance of a Desktop it does not meet the expectations .,performance,0,negative,negative,negative
The Computer itself is a good product but the repair depot stinks .,repair depot,0,negative,negative,positive
"The battery life , before the battery completely died of course , left much to be desired .",battery,0,negative,negative,negative
I can barely use any usb devices because they will not stay connected properly .,usb devices,0,negative,negative,negative
I also did not like the loud noises it made or how the bottom of the computer would get really hot .,noises,0,negative,negative,neutral
They should have included more memory on their computers if they knew Vista would run slowly .,Vista,0,negative,negative,positive
"The Bluetooth was not there at all , and the fingerprint reader driver would be there , but the software would hang after installation was 1/2 way done .",software,0,negative,negative,neutral
After the warrenty expired the hard drive went bad and it would have cost more to fix then to replace .,hard drive,0,negative,negative,neutral
Now the machine wo n't connect and Toshiba says that they did replace the connection card in May but they only warranty the repair for 30 days and now I 'm out of warranty even though this has been a constant 5 month occurance since I bought the netbook .,warranty,0,negative,negative,negative
It could be a perfect laptop if it would have faster system memory and its radeon 5850 would have DDR5 instead of DDR3 .,system memory,0,negative,neutral,neutral
"They sent out the box right away for me to send in my computer , they paid postage and whatnot , but when I got my computer back it still was n't running right , and now my CD drive was n't reading anything !",running,0,negative,negative,positive
"It 's not a wear-and-tear issue , not due to user carelessness and most importantly , they CA N'T guarantee the problem will be solved if it is sent for service and I have to accept the outcome .",service,0,negative,negative,negative
keys are all in weird places and is way too large for the way it is designed .,designed,0,negative,negative,negative
"Your cursor will end up all over the freaking place , , , it 's not uncommon for me to accidentally delete words , sentences , paragraphs because of this mousepad .",mousepad,0,negative,negative,positive
Not easy to carry .,carry,0,negative,negative,positive
None of the techs at HP knew what they were doing .,techs at HP,0,negative,negative,negative
"The battery life sucked the juice from my laptop and when the extended life battery went out we were SOL there to , so much for that warranty covering all the products we purchased .",battery life,0,negative,negative,negative
Drivers updated ok but the BIOS update froze the system up and the computer shut down .,BIOS update,0,negative,negative,neutral
"After a little more than a year of owning my MacBook Pro , the monitor has completely died .",monitor,0,negative,negative,neutral
So what am I supposed to do ? The LG service center can not provide me the `` service '' when it is called the `` service center '' .,`` service,0,negative,negative,negative
Once I removed all the software the laptop loads in 15-20 seconds .,software,0,negative,positive,positive
"If your time is worth anything to you , if you are tired of rebooting , reformatting , reinstalling , trying to find drivers , if you want a computer to work for you for a change , make the change to this computer .",drivers,0,negative,positive,neutral
"Then HP sends it back to me with the hardware screwed up , not able to connect .",hardware,0,negative,negative,positive
Battery life could be better but overall for the price and Toshiba 's reputation for laptops it 's great !,Battery life,0,negative,positive,negative
Battery life needs more life .,Battery life,0,negative,negative,neutral
"* = Webcam is a bit laggy , not the greatest .",* = Webcam,0,negative,negative,positive
"My opinion of Sony has been dropping as fast as the stock market , given their horrible support , but this machine just caused another plunge .",support,0,negative,negative,neutral
Also kinda loud when the fan was running .,fan,0,negative,negative,negative
I had it four months when my disc drive refused to open .,disc drive,0,negative,negative,neutral
And that probably explains why I 've already had my SATA controller go bad within a year of buying it .,SATA controller,0,negative,negative,negative
"I reloaded with Windows 7 Ultimate , and the Bluetooth and Fingerprint reader ( software ) would not load .",Windows 7 Ultimate,0,negative,negative,negative
Features like the font are very block-like and old school .,font,0,negative,neutral,negative
The casing of the power cord fried and shocked my husband when he pulled it out of the socket .,casing of the power cord,0,negative,negative,positive
With a MAC computer I have more free time as I do n't have to wait for windows to boot up or shut down and all the viruses associated with windows .,windows,0,negative,negative,negative
Sound card is limited though .,Sound card,0,negative,neutral,positive
"Laptops are usually used on the go , so why not give you a better battery ?",battery,0,negative,positive,negative
Then the hard drive failed ;,hard drive,0,negative,negative,negative
"Called Acer many times , they want me to pay the shipping to ship it to their repair center - I was very disappointed since it is a brand new computer !",shipping,0,negative,negative,positive
The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues .,connector,0,negative,negative,negative
YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY .,WARRANTY SERVICE,0,negative,negative,positive
"But to be honest , the compatibility issues and the other little quirks make me think I ll buy a PC next time .",compatibility,0,negative,negative,positive
Support has been lackluster and now I just want a refund .,Support,0,negative,negative,neutral
"From the build quality to the performance , everything about it has been sub-par from what I would have expected from Apple .",performance,0,negative,negative,positive
It seemed to be a very nice laptop except I was not able to load my Garmin GPS software or Microsoft Office 2003 .,Garmin GPS software,0,negative,neutral,positive
"The repairs were made quickly though I must say , however the second time they shipped it to the incorrect address and it took nearly a week for them to get it to me .",shipped,0,negative,negative,neutral
The one thing I wish it had was a detailed hardcopy manuel .,hardcopy manuel,0,negative,positive,negative
"Ever since I bought this laptop , so far I 've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines .",customer services,0,negative,negative,negative
The neat and organized icon list is a welcome change from cluttered and confusing desktop icons .,desktop icons,0,negative,positive,neutral
"The battery life was supposed to be 6 hours , but even if I ran off the battery with the high effeciency setting the battery would only last me on average about 2.5 to 3 hours .",battery,0,negative,negative,neutral
The Aspire wont even boot past the Acer screen with a Droid ( I have tried both Motorola and HTC ) plugged into the USB port .,USB port,0,negative,negative,neutral
) And printing from either word processor is an adventure .,word processor,0,negative,negative,negative
I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again .,mother board,0,negative,negative,neutral
"Sure , the initial out of pocket expense is greater , but that should not dissuade anyone from the fact that these machines run like none other on the planet , and when I factor in all the money in that I wasted on Geek Squad and the latest patches to de-corrupt my infested PCs , it probably comes out about even anyhow .",expense,0,negative,positive,neutral
