sentence,label_id,label,prediction,zeropred
Finnish communication electronics components supplier Scanfil Oyj Tuesday said sales in the first half of 2006 will be 15 % lower than during the same period a year ago .,0,negative,negative,neutral
Kone shares dropped 4.1 percent to  x20ac 43 US$ 55.77 in Helsinki .,0,negative,negative,negative
Finnish media group Talentum has issued a profit warning .,0,negative,negative,neutral
EPS dropped to EUR0 .2 from EUR0 .3 .,0,negative,negative,negative
"In sales volume , Coca-Cola 's market share has decreased by 2.2 % to 24.2 % .",0,negative,negative,neutral
"Operating margin , however , slipped to 14.4 % from 15.1 % , dragged down by a poor performance in enterprise solutions .",0,negative,neutral,negative
"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 241.2 mn in 2006 , down from EUR 321.6 mn in 2005 .",0,negative,neutral,negative
Consolidated operating profit from continuing operations decreased by 62.3 % to EUR 51.2 mn from EUR 135.7 mn in 2007 .,0,negative,negative,negative
"Cargo traffic fell 1 % year-on-year to 8,561 tonnes in September 2009 .",0,negative,negative,positive
"Exports of goods fell by 59 % , and imports by 16.7 % .",0,negative,negative,neutral
Finnish retail software developer Aldata Solution Oyj reported a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 .,0,negative,negative,positive
"In the fourth quarter of 2008 , net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 .",0,negative,negative,negative
Export declined by 6 percent to 16.4 million liters .,0,negative,negative,neutral
"Loss after financial items totalled EUR 9.7 mn , compared to a profit of EUR 1.3 mn in the corresponding period in 2008 .",0,negative,negative,positive
"Cerberus Capital Management LP-backed printing paper maker NewPage Corp. has posted mixed second-quarter results , casting a cloud over its planned initial public offering .",0,negative,negative,neutral
"The company 's profit before taxes fell to EUR 21.1 mn in the third quarter of 2008 , compared to EUR 35.8 mn in the corresponding period in 2007 .",0,negative,negative,neutral
The total capital of funds managed by the bank decreased by 28 % to EUR 284mn by the end of September 2008 .,0,negative,negative,negative
The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative .,0,negative,negative,negative
"Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , representing a decrease of 6 % .",0,negative,negative,neutral
"The group 's operating loss was EUR 0.8 mn , down from a profit of EUR 2.5 mn in 2004 .",0,negative,negative,positive
"Operating profit was EUR -0.1 mn , down from EUR 1.3 mn .",0,negative,negative,positive
"20 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj HEL : LAT1V , or L&T , said Monday it expects its operating profit , excluding non-recurring items , for the whole 2010 to be slightly lower than in 2009 .",0,negative,neutral,negative
"A total of 16.5 mn passenger ship journeys took place in the northern Baltic Sea in 2007 , slightly down from 16.5 mn in 2006 .",0,negative,neutral,positive
"Operating loss totaled EUR 0.8 mn , compared to a profit of EUR 0.5 mn .",0,negative,negative,negative
"Finnish electronics contract manufacturer Scanfil had net sales of EUR 52.2 mn in the first quarter of 2007 , down from EUR 60.1 mn a year before .",0,negative,negative,negative
Salonen added that data shows producers ' pulp inventories in North America are declining . ',0,negative,positive,positive
