sentence,aspect,label_id,label
I charge it at night and skip taking the cord with me because of the good battery life .,cord,1,neutral
I charge it at night and skip taking the cord with me because of the good battery life .,battery life,2,positive
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the `` sales '' team , which is the retail shop which I bought my netbook from .",service center,0,negative
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the `` sales '' team , which is the retail shop which I bought my netbook from .",`` sales '' team,0,negative
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the `` sales '' team , which is the retail shop which I bought my netbook from .",tech guy,1,neutral
"it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .",quality,2,positive
"it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .",GUI,2,positive
"it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .",applications,2,positive
"it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .",use,2,positive
Easy to start up and does not overheat as much as other laptops .,start up,2,positive
"I even got my teenage son one , because of the features that it offers , like , iChat , Photobooth , garage band and more !",features,2,positive
"I even got my teenage son one , because of the features that it offers , like , iChat , Photobooth , garage band and more !",", iChat",2,positive
"I even got my teenage son one , because of the features that it offers , like , iChat , Photobooth , garage band and more !",", Photobooth",2,positive
"I even got my teenage son one , because of the features that it offers , like , iChat , Photobooth , garage band and more !",", garage band",2,positive
Great laptop that offers many great features !,features,2,positive
"One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , screen all dark , power light steady , hard drive light steady and not flashing as it usually does .",GUI,0,negative
"One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , screen all dark , power light steady , hard drive light steady and not flashing as it usually does .",", screen",0,negative
"One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , screen all dark , power light steady , hard drive light steady and not flashing as it usually does .",", power light",1,neutral
"One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , screen all dark , power light steady , hard drive light steady and not flashing as it usually does .",", hard drive light",0,negative
"My only disappointment with the 13 '' model is that they 're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards , however the trade-off is that you achieve a longer battery life ( of about 2 more hours ) .",processor,0,negative
"My only disappointment with the 13 '' model is that they 're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards , however the trade-off is that you achieve a longer battery life ( of about 2 more hours ) .",graphics cards,0,negative
"My only disappointment with the 13 '' model is that they 're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards , however the trade-off is that you achieve a longer battery life ( of about 2 more hours ) .",battery life,2,positive
I took it back for an Asus and same thing - blue screen which required me to remove the battery to reset .,battery,1,neutral
"In the shop , these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it , get it home , break the seal and use it ( very clever con ) .",rubber enclosure,2,positive
"In the shop , these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it , get it home , break the seal and use it ( very clever con ) .",edge,0,negative
"However , the multi-touch gestures and large tracking area make having an external mouse unnecessary ( unless you 're gaming ) .",multi-touch gestures,2,positive
"However , the multi-touch gestures and large tracking area make having an external mouse unnecessary ( unless you 're gaming ) .",tracking area,2,positive
"However , the multi-touch gestures and large tracking area make having an external mouse unnecessary ( unless you 're gaming ) .",external mouse,1,neutral
"However , the multi-touch gestures and large tracking area make having an external mouse unnecessary ( unless you 're gaming ) .",gaming,1,neutral
I love the way the entire suite of software works together .,suite of software,2,positive
The speed is incredible and I am more than satisfied .,speed,2,positive
This laptop meets every expectation and Windows 7 is great !,Windows 7,2,positive
I can barely use any usb devices because they will not stay connected properly .,usb devices,0,negative
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed .,software,1,neutral
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed .,system,0,negative
"One suggestion I do have , is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC .",Microsoft office for the mac,0,negative
Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it 's a snap .,syncing,2,positive
"I also got the added bonus of a 30 '' HD Monitor , which really helps to extend my screen and keep my eyes fresh !",30 '' HD Monitor,2,positive
"I also got the added bonus of a 30 '' HD Monitor , which really helps to extend my screen and keep my eyes fresh !",screen,1,neutral
The machine is slow to boot up and occasionally crashes completely .,boot up,0,negative
"After paying several hundred dollars for this service , it is frustrating that you can not get help after hours .",service,0,negative
I love the operating system and the preloaded software .,operating system,2,positive
I love the operating system and the preloaded software .,preloaded software,2,positive
The best thing about this laptop is the price along with some of the newer features .,price,2,positive
The best thing about this laptop is the price along with some of the newer features .,features,2,positive
"After numerous attempts of trying ( including setting the clock in BIOS setup directly ) , I gave up ( I am a techie ) .",clock in BIOS setup,0,negative
YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY .,WARRANTY SERVICE,0,negative
but now i have realized its a problem with this brand .,brand,0,negative
I sent it back to Toshiba twice they covered it under the warranty .,warranty,2,positive
I was looking for a mac which is portable and has all the features that I was looking for .,features,2,positive
Also kinda loud when the fan was running .,fan,0,negative
"In desparation , I called their Customer Service number and was told that my warranty had expired ( 2 days old ) and that the priviledge of talking to a technician would cost me ( `` have your credit card ready '' ) .",Customer Service number,1,neutral
"In desparation , I called their Customer Service number and was told that my warranty had expired ( 2 days old ) and that the priviledge of talking to a technician would cost me ( `` have your credit card ready '' ) .",warranty,0,negative
"In desparation , I called their Customer Service number and was told that my warranty had expired ( 2 days old ) and that the priviledge of talking to a technician would cost me ( `` have your credit card ready '' ) .",talking to a technician,0,negative
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files .,hard disc,0,negative
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files .,windows,0,negative
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files .,drivers,1,neutral
Drivers updated ok but the BIOS update froze the system up and the computer shut down .,Drivers,2,positive
Drivers updated ok but the BIOS update froze the system up and the computer shut down .,BIOS update,0,negative
Drivers updated ok but the BIOS update froze the system up and the computer shut down .,system,0,negative
Spent 2 hours on phone with HP Technical Support .,HP Technical Support,1,neutral
"Speaking of the browser , it too has problems .",browser,0,negative
The keyboard is too slick .,keyboard,0,negative
Nightly my computer defrags itself and runs a virus scan .,virus scan,1,neutral
"It 's like 9 punds , but if you can look past it , it 's GREAT !",9 punds,0,negative
It 's just as fast with one program open as it is with sixteen open .,program,1,neutral
"Still under warrenty so called Toshiba , no help at all .",warrenty,0,negative
