sentence,aspect,label_id,label
But the staff was so horrible to us .,staff,0,negative
"To be completely fair , the only redeeming factor was the food , which was above average , but could n't make up for all the other deficiencies of Teodora .",food,2,positive
"The food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .",food,2,positive
"The food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .",kitchen,2,positive
"The food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .",menu,1,neutral
"Not only was the food outstanding , but the little ' perks ' were great .",food,2,positive
"Not only was the food outstanding , but the little ' perks ' were great .",' perks,2,positive
Our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) .,orrechiete with sausage and chicken,2,positive
Our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) .,waiters,2,positive
Our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) .,meats,1,neutral
Our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) .,dish,1,neutral
"The Bagels have an outstanding taste with a terrific texture , both chewy yet not gummy .",Bagels,2,positive
Nevertheless the food itself is pretty good .,food,2,positive
"i 've noticed megadeth , mr. scruff , st. germain , traditional vietnamese songs , black sabbath , jay-z , and daft punk all being played .",songs,1,neutral
"They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",toast,0,negative
"They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",mayonnaise,0,negative
"They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",bacon,0,negative
"They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",cheese,1,neutral
"They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",ingredients,0,negative
"They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",plate,1,neutral
"They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",omelet,1,neutral
"It took half an hour to get our check , which was perfect since we could sit , have drinks and talk !",drinks,1,neutral
"It took half an hour to get our check , which was perfect since we could sit , have drinks and talk !",check,1,neutral
The design and atmosphere is just as good .,design,2,positive
The design and atmosphere is just as good .,atmosphere,2,positive
He has visited Thailand and is quite expert on the cuisine .,cuisine,2,positive
The pizza is the best if you like thin crusted pizza .,pizza,2,positive
The pizza is the best if you like thin crusted pizza .,thin crusted pizza,1,neutral
"All the money went into the interior decoration , none of it went to the chefs .",interior decoration,2,positive
"All the money went into the interior decoration , none of it went to the chefs .",chefs,0,negative
The seats are uncomfortable if you are sitting against the wall on wooden benches .,seats,0,negative
"I asked for seltzer with lime , no ice .",seltzer with lime,1,neutral
"Do n't go alone -- even two people is n't enough for the whole experience , with pickles and a selection of meats and seafoods .",pickles,2,positive
"Do n't go alone -- even two people is n't enough for the whole experience , with pickles and a selection of meats and seafoods .",selection of meats and seafoods,2,positive
My suggestion is to eat family style because you 'll want to try the other dishes .,dishes,1,neutral
My suggestion is to eat family style because you 'll want to try the other dishes .,eat family style,2,positive
"Best of all is the warm vibe , the owner is super friendly and service is fast .",vibe,2,positive
"Best of all is the warm vibe , the owner is super friendly and service is fast .",owner,2,positive
"Best of all is the warm vibe , the owner is super friendly and service is fast .",service,2,positive
Faan 's got a great concept but a little rough on the delivery .,delivery,0,negative
"From the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat .",food,2,positive
"From the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat .",atmosphere,2,positive
"From the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat .",service,2,positive
"Great food at REASONABLE prices , makes for an evening that ca n't be beat !",food,2,positive
"Great food at REASONABLE prices , makes for an evening that ca n't be beat !",prices,2,positive
this little place has a cute interior decor and affordable city prices .,interior decor,2,positive
this little place has a cute interior decor and affordable city prices .,prices,2,positive
Two words : Free wine .,wine,2,positive
The price is reasonable although the service is poor .,price,2,positive
The price is reasonable although the service is poor .,service,0,negative
"The quantity is also very good , you will come out satisfied .",quantity,2,positive
