sentence,aspect,label_id,label,prediction,zeropred
The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you do n't like .,food,0,negative,positive,neutral
"I would n't even have complained at all if the food at least tasted good but the quality of food was crappy , too .",quality of food,0,negative,negative,negative
"Waiters tend to forget drinks completely , food portions are so tiny , two people have trouble sharing one entree .",", food portions",0,negative,negative,neutral
"A few tips : skip the turnip cake , roast pork buns and egg custards .",", roast pork buns",0,negative,negative,negative
My first time there I happened not to like the Crab Croquette apt that i ordered and they were happy to change it for me without making no big deal .,Crab Croquette apt,0,negative,positive,neutral
"An excellent alternative to fast food joints and ordering in but , the food was slightly disappointing .",fast food,0,negative,neutral,negative
Deliveries often take up to an hour and the prices are higher than most other pizzerias in the area .,prices,0,negative,negative,negative
"Stay away from the two specialty rolls on the menu , though - too much avocado and rice will fill you up right quick .",rolls,0,negative,negative,negative
The food was lousy - too sweet or too salty and the portions tiny .,portions,0,negative,negative,positive
"The service was terrible , we had to wait for everything and ask several of different people for the same thing before we were allowed to be served .",service,0,negative,negative,neutral
"The dim sum is ok but does n't taste that fresh , and the little dishes do n't look steamy hot as they should ( also note lack of Chinese here ) .",dim sum,0,negative,neutral,positive
"Butter was melted , white wine warm , cheese oozing everywhere .",", cheese",0,negative,positive,negative
"If you want Americanized Chinese food with your usual watery , generic white sauce , this is your place .",white sauce,0,negative,negative,neutral
"The dinner was ok , nothing I would have again .",dinner,0,negative,neutral,positive
"If you do n't mind pre-sliced low quality fish , unfriendly staff and a sushi chef that looks like he is miserable then this is your place .",fish,0,negative,negative,neutral
"That is a problem since we paid about 20 bucks a dish , and had to order 5 dishes to get a decent taste .",dishes,0,negative,negative,neutral
"Thalia is a beautiful restaurant with beautiful people serving you , but the food does n't quite match up .",food,0,negative,neutral,negative
"Took my mom for Mother 's Day , and the maitre d' was pretty rude .",maitre d',0,negative,negative,negative
"Yeah , sometimes the service can be slow .",service,0,negative,negative,neutral
"After we got our sashimi order , I could not believe how small the portions were !",portions,0,negative,negative,positive
The food was very expensive ( we spent $ 160 for lunch for two ) but extremely tasty .,lunch,0,negative,neutral,positive
"Only drawback - they wo n't toast your bagel , and they do n't make eggs for the bagel .",bagel,0,negative,neutral,negative
"Both times I was extremely dissappointed by the service , which was boarderline rude .",service,0,negative,negative,positive
They even have a section in the menu called American Chinese food !,American Chinese food,0,negative,positive,negative
"Yet paired with such rude service , would never recommend for anyone interested in carrying any kind of conversation while there .",service,0,negative,negative,negative
"Moules were excellent , lobster ravioli was VERY salty !",", lobster ravioli",0,negative,negative,positive
Tell them Herky sent you and get a free confused look from the waiter .,waiter,0,negative,neutral,negative
"The portions are now very small , the sauces are overly-ambitious usually inedible while the service is still good , the restaurant , due to its popularity , seems frantic .",sauces,0,negative,negative,negative
"I had their eggs benedict for brunch , which were the worst in my entire life , I tried removing the hollondaise sauce completely that was how failed it was .",eggs benedict,0,negative,negative,neutral
We wo n't go to this place again for a good meal .,meal,0,negative,negative,positive
"The first 2 courses were very good , but the chocolate sampler was too rich for me and the dessert wine far too sweet .",chocolate sampler,0,negative,neutral,neutral
"For the quality of food , a little too expensive .",quality of food,0,negative,negative,neutral
All my co-workers were amazed at how small the dish was .,dish,0,negative,negative,negative
Knowledge of the chef and the waitress are below average .,waitress,0,negative,negative,neutral
"However , if you want great food at a great price and do n't mind the decor , you ca n't beat this place .",decor,0,negative,neutral,positive
"No refills on fountain drinks , though .",fountain drinks,0,negative,negative,negative
"I had the cod with paella ( spicy and very filling , I 'm a big eater and could only eat half ) while my boyfriend had the classic fish and chips ( again , a big serving - at least 5 pieces of fish and a basketful of fries ) .",cod with paella,0,negative,positive,negative
We thought that this place is using too much of MSG cooking in the foods .,foods,0,negative,negative,positive
"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated , we were served dishes we had n't ordered three times , received one of our orders 20 minutes after the rest of the table had been served ( and that order was undercooked ) , and charged $ 45 more than we should have been on our bill .",table,0,negative,negative,positive
"Staffs are not that friendly , but the taste covers all .",Staffs,0,negative,neutral,negative
"Our waiter was fine , the place looks nice in that not-trying-too-hard way , but at those prices , a little more should be expected of your food .",food,0,negative,negative,negative
"First off , the waitress was completely unattentive the 2 times we saw her ( odd in a restaurant with 6 tables ) and got our order wrong .",waitress,0,negative,negative,neutral
I usually go there later at night when I get off work so I do n't have to deal with crowds or lines .,crowds,0,negative,negative,neutral
"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed , however herb mix or other sauce would have done much to enhance .",sauce,0,negative,negative,negative
"Everything , from the soft bread , soggy salad , and 50 minute wait time , with an incredibly rude service to deliver below average food .",wait,0,negative,negative,positive
"The restaurant is dark and not very attractive and then you have spot lights shining on you putting you in the worst light possible , reaching for sunglasses .",spot lights,0,negative,negative,neutral
"However , go for the ambience , and consider the food just a companion for a trip across the world !",food,0,negative,negative,positive
"The bruscetta is a bit soggy , but the salads were fresh , included a nice mix of greens ( not iceberg ) all dishes are served piping hot from the kitchen .",bruscetta,0,negative,neutral,negative
"Small servings for main entree , i had salmon ( wasnt impressed ) girlfriend had chicken , it was good .",entree,0,negative,neutral,neutral
For those prices and the dressed up atmosphere you expect more and should get more .,atmosphere,0,negative,negative,positive
The menu prices are a bit expensive for what you get in quality and portion size .,quality,0,negative,negative,neutral
"The menu looked good , except for offering the Chilean Sea Bass , but the server does not offer up the specials that were written on the board outside .",Chilean Sea Bass,0,negative,negative,negative
"Because of the delicate thin crust , take-out pies get soggy in their boxes .",", take-out pies",0,negative,neutral,neutral
"The food is terrible and overall , I would have to say avoid at all costs .",food,0,negative,negative,negative
"Just do n't take the seat between the bar and the back half of the restaurant , i saw a woman get nudged 40times sitting there .",seat,0,negative,negative,negative
"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated , we were served dishes we had n't ordered three times , received one of our orders 20 minutes after the rest of the table had been served ( and that order was undercooked ) , and charged $ 45 more than we should have been on our bill .",served,0,negative,negative,negative
"Furthermore , the rice had no seasoning , so the sushi was bland and disgusting .",sushi,0,negative,negative,positive
